15.58,18.2,16.09,17.41,15.21,13.36,15.22,17.36,14.63,14.45
23.31,24.66,20.99,21.75,23.8,19.98,21.32,23.9,14.94,22.16
28.82,28.18,29.04,29.13,25.72,28.1,28.11,25.22,25.46,29.98
35.69,33.69,37.3,33.26,32.99,34.73,34.78,34.61,36.4,33.25
38.3,37.56,38.86,37.45,40.92,40.82,39.01,39.44,37.59,39.06
43.04,42.49,40.82,40.27,41.8,42.31,41.23,42.93,41.79,43.92
45.85,44.48,45.06,43.47,44.68,45.41,45.31,42.6,44.48,43.94
46.17,46.04,46.04,45.46,45.68,45.01,45.85,46.72,45.49,45.77
46.51,46.83,47.13,46.77,47.23,47.22,45.87,46.33,46.85,47.08
