2.539999999999999858e+01,3.981000000000000227e+01,4.432999999999999829e+01,5.554999999999999716e+01,6.718999999999999773e+01,8.593999999999999773e+01,9.184999999999999432e+01,9.587999999999999545e+01,9.590999999999999659e+01
2.608999999999999986e+01,3.749000000000000199e+01,4.246999999999999886e+01,6.007999999999999829e+01,7.584000000000000341e+01,8.276000000000000512e+01,9.293999999999999773e+01,9.518999999999999773e+01,9.604999999999999716e+01
1.524000000000000021e+01,3.859000000000000341e+01,4.357999999999999829e+01,5.890999999999999659e+01,7.750000000000000000e+01,8.712999999999999545e+01,9.262000000000000455e+01,9.473999999999999488e+01,9.606000000000000227e+01
2.308999999999999986e+01,3.254999999999999716e+01,4.728999999999999915e+01,5.140999999999999659e+01,7.335999999999999943e+01,8.732999999999999829e+01,9.375000000000000000e+01,9.540000000000000568e+01,9.556000000000000227e+01
2.441000000000000014e+01,3.360999999999999943e+01,4.893999999999999773e+01,5.421000000000000085e+01,6.895999999999999375e+01,8.775000000000000000e+01,9.282999999999999829e+01,9.559000000000000341e+01,9.604999999999999716e+01
2.230999999999999872e+01,3.128999999999999915e+01,4.331000000000000227e+01,5.321000000000000085e+01,7.562999999999999545e+01,9.018000000000000682e+01,9.420000000000000284e+01,9.548000000000000398e+01,9.606000000000000227e+01
2.555999999999999872e+01,3.396000000000000085e+01,4.611999999999999744e+01,5.681000000000000227e+01,6.887000000000000455e+01,8.743999999999999773e+01,9.273999999999999488e+01,9.568000000000000682e+01,9.620999999999999375e+01
2.937000000000000099e+01,3.984000000000000341e+01,4.721999999999999886e+01,5.303000000000000114e+01,7.404000000000000625e+01,9.067000000000000171e+01,9.173999999999999488e+01,9.565000000000000568e+01,9.609000000000000341e+01
1.837000000000000099e+01,3.953999999999999915e+01,4.496000000000000085e+01,5.092000000000000171e+01,7.390000000000000568e+01,8.381999999999999318e+01,9.301999999999999602e+01,9.501000000000000512e+01,9.604999999999999716e+01
2.755000000000000071e+01,3.327000000000000313e+01,4.200999999999999801e+01,5.472999999999999687e+01,7.534000000000000341e+01,8.776999999999999602e+01,9.242000000000000171e+01,9.509000000000000341e+01,9.612999999999999545e+01
